iter	Passed	Remaining
0	0	269
1	1	238
2	1	227
3	2	218
4	2	212
5	3	208
6	3	204
7	4	202
8	4	200
9	5	199
10	5	197
11	6	195
12	6	194
13	7	194
14	7	192
15	7	191
16	8	190
17	8	189
18	9	188
19	9	187
20	10	186
21	10	186
22	11	185
23	11	184
24	12	183
25	12	183
26	13	182
27	13	182
28	14	181
29	14	180
30	15	179
31	15	179
32	16	178
33	16	178
34	17	177
35	17	177
36	18	176
37	18	176
38	18	175
39	19	175
40	19	174
41	20	174
42	20	173
43	21	173
44	21	172
45	22	171
46	22	171
47	23	170
48	23	170
49	24	169
50	24	169
51	25	168
52	25	168
53	26	167
54	26	167
55	27	166
56	27	166
57	28	165
58	28	165
59	29	164
60	29	164
61	30	163
62	30	163
63	30	162
64	31	162
65	31	161
66	32	161
67	32	160
68	33	160
69	33	159
70	34	159
71	34	159
72	35	158
73	35	157
74	36	157
75	36	156
76	37	156
77	37	156
78	38	155
79	38	155
80	39	154
81	39	155
82	40	154
83	40	153
84	41	153
85	41	153
86	42	152
87	42	152
88	43	151
89	43	151
90	44	150
91	44	150
92	45	149
93	45	149
94	46	148
95	46	147
96	47	147
97	47	147
98	48	146
99	48	146
100	49	145
101	49	145
102	50	144
103	50	144
104	51	143
105	51	143
106	52	142
107	52	142
108	53	141
109	53	141
110	54	140
111	54	140
112	55	139
113	55	139
114	56	138
115	56	138
116	56	137
117	57	137
118	57	136
119	58	136
120	58	135
121	59	135
122	59	134
123	60	134
124	60	133
125	61	133
126	61	132
127	62	132
128	62	131
129	63	131
130	63	131
131	64	130
132	64	129
133	65	129
134	65	129
135	66	128
136	66	128
137	67	127
138	67	127
139	68	126
140	68	126
141	69	125
142	69	125
143	70	124
144	70	124
145	71	123
146	71	123
147	72	122
148	72	122
149	72	121
150	73	121
151	73	120
152	74	120
153	74	119
154	75	119
155	75	118
156	76	118
157	76	117
158	77	117
159	77	116
160	78	116
161	78	115
162	79	115
163	79	114
164	80	114
165	80	113
166	81	113
167	81	112
168	82	112
169	82	111
170	83	111
171	83	110
172	84	110
173	84	109
174	85	109
175	85	108
176	86	108
177	86	107
178	87	107
179	87	106
180	87	106
181	88	105
182	88	105
183	89	104
184	89	104
185	90	104
186	90	103
187	91	103
188	91	102
189	92	102
190	92	101
191	93	101
192	93	100
193	94	100
194	94	99
195	95	99
196	95	98
197	96	98
198	96	97
199	97	97
200	97	96
201	98	96
202	98	95
203	99	95
204	99	94
205	100	94
206	100	93
207	100	93
208	101	92
209	101	92
210	102	91
211	102	91
212	103	90
213	103	90
214	104	89
215	104	89
216	105	88
217	105	88
218	106	87
219	106	87
220	107	86
221	107	86
222	108	85
223	108	85
224	109	84
225	109	84
226	110	83
227	110	83
228	111	82
229	111	82
230	112	82
231	112	81
232	113	81
233	113	80
234	114	80
235	114	79
236	115	79
237	115	78
238	116	78
239	116	77
240	116	77
241	117	76
242	117	76
243	118	75
244	118	75
245	119	74
246	119	74
247	120	73
248	120	73
249	121	72
250	121	72
251	122	71
252	122	71
253	123	70
254	123	70
255	124	69
256	124	69
257	125	68
258	125	68
259	126	67
260	126	67
261	127	66
262	127	66
263	128	65
264	128	65
265	129	64
266	129	64
267	129	64
268	130	63
269	130	63
270	131	62
271	131	62
272	132	61
273	132	61
274	133	60
275	133	60
276	134	59
277	134	59
278	135	58
279	135	58
280	136	57
281	136	57
282	137	56
283	138	56
284	138	55
285	139	55
286	139	54
287	139	54
288	140	53
289	140	53
290	141	52
291	141	52
292	142	52
293	142	51
294	143	51
295	143	50
296	144	50
297	144	49
298	145	49
299	145	48
300	146	48
301	146	47
302	147	47
303	147	46
304	148	46
305	148	45
306	149	45
307	149	44
308	150	44
309	150	43
310	151	43
311	151	42
312	152	42
313	152	41
314	153	41
315	153	40
316	154	40
317	154	39
318	155	39
319	155	38
320	156	38
321	156	37
322	157	37
323	157	36
324	158	36
325	158	35
326	159	35
327	159	35
328	160	34
329	160	34
330	160	33
331	161	33
332	161	32
333	162	32
334	162	31
335	163	31
336	163	30
337	164	30
338	164	29
339	165	29
340	165	28
341	166	28
342	166	27
343	167	27
344	167	26
345	168	26
346	168	25
347	169	25
348	169	24
349	170	24
350	170	23
351	171	23
352	171	22
353	172	22
354	172	21
355	173	21
356	173	20
357	174	20
358	174	19
359	175	19
360	175	18
361	176	18
362	176	18
363	177	17
364	177	17
365	178	16
366	178	16
367	179	15
368	179	15
369	180	14
370	180	14
371	181	13
372	181	13
373	182	12
374	182	12
375	183	11
376	183	11
377	184	10
378	184	10
379	185	9
380	185	9
381	186	8
382	186	8
383	187	7
384	187	7
385	188	6
386	188	6
387	189	5
388	189	5
389	190	4
390	190	4
391	191	3
392	191	3
393	192	2
394	192	2
395	193	1
396	193	1
397	194	0
398	194	0
399	194	0
