"MOD_NAME","ITM_NAME","DSCR","MAPPING_NOTES","MAPPING_CODE","NEW_MOD_NAME","NEW_ITM_NAME"
"AE","AEFLUP","AE Status at final visit","","Excluded","",""
"AE","AESEQ","AE#","Removed during EDC Transition from Blackfynn to Iowa","Excluded","",""
"AE","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"AE","RELAV133","Related to AV-133","Replaced by AERELPRO=4 in AE","Replaced","AE","AERELPRO"
"AE","RELDSCAN","Related to DaTSCAN","Replaced by AERELPRO=1 in AE","Replaced","AE","AERELPRO"
"AE","RELFB","Related to Florbetaben","","Excluded","",""
"AE","RELLP","Related to LP","Replaced by AERELPRO=2 in AE","Replaced","AE","AERELPRO"
"AE","RELPRCDR","Related to other study procedure","Replaced by AERELPRO=5 in AE","Replaced","AE","AERELPRO"
"AE","RELSKBIO","Related to Skin Biopsy","Replaced by AERELPRO=3 in AE","Replaced","AE","AERELPRO"
"AE","SITE_APRV","Date site approved the data","","Excluded","",""
"AE","STARTEST","Start Date Estimation","","Excluded","",""
"AE","STOPEST","Stop Date Estimation","","Excluded","",""
"AVELIG","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"AVELIG","INEX2","Inclusion Exclusion question 2","Replaced by EXCARDDX in AVELIG","Replaced","AVELIG","EXCARDDX"
"AVELIG","INEX3","Inclusion Exclusion question 3","Replaced by EXRXQTPRO in AVELIG","Replaced","AVELIG","EXRXQTPRO"
"AVELIG","INEX4","Inclusion Exclusion question 4","","Excluded","",""
"AVELIG","INEX5","Inclusion Exclusion question 5","Replaced by EXAVRX1MO in AVELIG","Replaced","AVELIG","EXAVRX1MO"
"AVELIG","INEX6","Inclusion Exclusion question 6","","Excluded","",""
"AVELIG","INEX7","Inclusion Exclusion question 7","","Excluded","",""
"AVELIG","SITE_APRV","Date site approved the data","","Excluded","",""
"AVIMAG","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"AVIMAG","INFODT","Event Date","Replaced by INFODT in AVPREGNANC","Replaced","AVPREGNANC","INFODT"
"AVIMAG","PETDT","Date PET scan completed","Replaced by INFODT in AVIMAG","Replaced","AVIMAG","INFODT"
"AVIMAG","SITE_APRV","Date site approved the data","","Excluded","",""
"AVIMAG","SPREGPRF","Serum Pregnancy test performed","","Excluded","",""
"AVIMAG","SPRGCNBF","Serum Preg result confirmed prior to","Replaced by SPRGCNNEGBF in AVPREGNANC","Replaced","AVPREGNANC","SPRGCNNEGBF"
"AVIMAG","UPREGPRF","Urine Pregnancy test performed","Moved to AVPREGNANC","Replaced","AVPREGNANC","UPREGPRF"
"AVIMAG","UPRGCNBF","Urine Preg result confirmed prior to","Moved to AVPREGNANC","Replaced","AVPREGNANC","UPRGCNBF"
"AVIMAG","UPRGRSLT","Urine Pregnancy test result","Moved to AVPREGNANC","Replaced","AVPREGNANC","UPRGRSLT"
"AVIMAG","XFRYN","Data transfer","","Excluded","",""
"BBNKEU","BBCNST","Consent to participate in Brain Bank","","Excluded","",""
"CLINLAB","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"CLINLAB","SITE_APRV","Date site approved the data","","Excluded","",""
"COGCATG","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"COGCATG","SITE_APRV","Date site approved the data","","Excluded","",""
"CONCL","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"CONCL","SITE_APRV","Date site approved the data","","Excluded","",""
"CONMED","CMSEQ","Row #","Removed during EDC Transition from Blackfynn to Iowa","Excluded","",""
"CONMED","DISMED","PD Med ?","","Excluded","",""
"CONMED","F_STATUS","Data status: Verified, Secured or Locked","","Excluded","",""
"CONMED","LEDD","LEDD calculation for PD medication","","Excluded","",""
"CONMED","SITE_APRV","Date site approved the data","","Excluded","",""
"CONMED","STARTEST","Start Date estimation","","Excluded","",""
"CONMED","STOPEST","Stop Date estimation","","Excluded","",""
"CORIELL","ALIAS_ID","Patient Number","","Excluded","",""
"CORIELL","ALLOCATED_DATE","Allocation Date","","Excluded","",""
"CORIELL","CLINICAL_EVENT","Event Name","","Excluded","",""
"CORIELL","COLLECTION_DATE","Sample Collection Date","","Excluded","",""
"CORIELL","CONFIRMED_DATE","Confirmed Date","","Excluded","",""
"CORIELL","CONTAINER_TYPE","Container Type","","Excluded","",""
"CORIELL","CUSTODIAL_DOMAIN","Custodial Domain","","Excluded","",""
"CORIELL","DISPOSITION","Disposition","","Excluded","",""
"CORIELL","PARENTID","Parent Sample ID","","Excluded","",""
"CORIELL","QC","Quality Control","","Excluded","",""
"CORIELL","QC_DATE","QC Date","","Excluded","",""
"CORIELL","QUANTITY","Quantity","","Excluded","",""
"CORIELL","QUANTITY_UNITS","Quantity Units","","Excluded","",""
"CORIELL","REP_GENDER","Gender","","Excluded","",""
"CORIELL","SAMPLEID","Coriell Sample ID","","Excluded","",""
"CORIELL","SITE_ID","Site Name","","Excluded","",""
