path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_Balance.csv	syn61370552	HC100_Balance.csv	syn61498244	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_HurriedPace.csv	syn61370552	HC100_HurriedPace.csv	syn61498246	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_HurriedPace_mat.csv	syn61370552	HC100_HurriedPace_mat.csv	syn61498248	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace.csv	syn61370552	HC100_SelfPace.csv	syn61498251	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace_mat.csv	syn61370552	HC100_SelfPace_mat.csv	syn61498255	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace_matTURN.csv	syn61370552	HC100_SelfPace_matTURN.csv	syn61498258	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_TUG.csv	syn61370552	HC100_TUG.csv	syn61498265	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_TandemGait.csv	syn61370552	HC100_TandemGait.csv	syn61498262	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_Balance.csv	syn61370552	HC101_Balance.csv	syn61498269	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_HurriedPace.csv	syn61370552	HC101_HurriedPace.csv	syn61498272	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_HurriedPace_mat.csv	syn61370552	HC101_HurriedPace_mat.csv	syn61498275	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_SelfPace.csv	syn61370552	HC101_SelfPace.csv	syn61498284	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_SelfPace_mat.csv	syn61370552	HC101_SelfPace_mat.csv	syn61498288	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_SelfPace_matTURN.csv	syn61370552	HC101_SelfPace_matTURN.csv	syn61498291	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_TUG.csv	syn61370552	HC101_TUG.csv	syn61498299	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_TandemGait.csv	syn61370552	HC101_TandemGait.csv	syn61498295	True	text/csv				
/ocean/projects/med260006p/aguda1/biomedAI/project/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC102_Balance.csv	syn61370552	HC102_Balance.csv	syn61498310	True	text/csv				
