path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROLS - Demographic+Clinical - datasetV1.csv	syn55052683	CONTROLS - Demographic+Clinical - datasetV1.csv	syn55105521	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/PD - Demographic+Clinical - datasetV1.csv	syn55052683	PD - Demographic+Clinical - datasetV1.csv	syn55105530	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_Balance.csv	syn61370552	HC100_Balance.csv	syn61498244	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_HurriedPace.csv	syn61370552	HC100_HurriedPace.csv	syn61498246	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_HurriedPace_mat.csv	syn61370552	HC100_HurriedPace_mat.csv	syn61498248	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace.csv	syn61370552	HC100_SelfPace.csv	syn61498251	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace_mat.csv	syn61370552	HC100_SelfPace_mat.csv	syn61498255	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_SelfPace_matTURN.csv	syn61370552	HC100_SelfPace_matTURN.csv	syn61498258	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_TUG.csv	syn61370552	HC100_TUG.csv	syn61498265	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC100_TandemGait.csv	syn61370552	HC100_TandemGait.csv	syn61498262	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC101_Balance.csv	syn61370552	HC101_Balance.csv	syn61498269	True	text/csv				
