feature	n_control	n_patient	missing_rate_overall	outliers_control	outliers_patient
F0semitoneFrom27.5Hz_sma3nz_amean	148	143	0.0	1.0	1.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope	148	143	0.0	12.0	12.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope	148	143	0.0	14.0	10.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2	148	143	0.0	20.0	14.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0	148	143	0.0	1.0	3.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0	148	143	0.0	1.0	1.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0	148	143	0.0	1.0	2.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope	148	143	0.0	17.0	15.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm	148	143	0.0	8.0	5.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope	148	143	0.0	14.0	10.0
F1amplitudeLogRelF0_sma3nz_amean	148	143	0.0	8.0	1.0
F1amplitudeLogRelF0_sma3nz_stddevNorm	148	143	0.0	10.0	0.0
F1bandwidth_sma3nz_amean	148	143	0.0	2.0	5.0
F1bandwidth_sma3nz_stddevNorm	148	143	0.0	6.0	3.0
F1frequency_sma3nz_amean	148	143	0.0	3.0	1.0
F1frequency_sma3nz_stddevNorm	148	143	0.0	1.0	3.0
F2amplitudeLogRelF0_sma3nz_amean	148	143	0.0	9.0	1.0
F2amplitudeLogRelF0_sma3nz_stddevNorm	148	143	0.0	11.0	1.0
F2bandwidth_sma3nz_amean	148	143	0.0	1.0	2.0
F2bandwidth_sma3nz_stddevNorm	148	143	0.0	2.0	3.0
F2frequency_sma3nz_amean	148	143	0.0	4.0	2.0
F2frequency_sma3nz_stddevNorm	148	143	0.0	0.0	0.0
F3amplitudeLogRelF0_sma3nz_amean	148	143	0.0	7.0	1.0
F3amplitudeLogRelF0_sma3nz_stddevNorm	148	143	0.0	14.0	1.0
F3bandwidth_sma3nz_amean	148	143	0.0	1.0	1.0
F3bandwidth_sma3nz_stddevNorm	148	143	0.0	3.0	2.0
F3frequency_sma3nz_amean	148	143	0.0	1.0	4.0
F3frequency_sma3nz_stddevNorm	148	143	0.0	1.0	1.0
