feature	missing_rate_overall
F0semitoneFrom27.5Hz_sma3nz_amean	0.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope	0.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope	0.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2	0.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0	0.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0	0.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0	0.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope	0.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm	0.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope	0.0
F1amplitudeLogRelF0_sma3nz_amean	0.0
F1amplitudeLogRelF0_sma3nz_stddevNorm	0.0
F1bandwidth_sma3nz_amean	0.0
F1bandwidth_sma3nz_stddevNorm	0.0
F1frequency_sma3nz_amean	0.0
F1frequency_sma3nz_stddevNorm	0.0
F2amplitudeLogRelF0_sma3nz_amean	0.0
F2amplitudeLogRelF0_sma3nz_stddevNorm	0.0
F2bandwidth_sma3nz_amean	0.0
F2bandwidth_sma3nz_stddevNorm	0.0
F2frequency_sma3nz_amean	0.0
F2frequency_sma3nz_stddevNorm	0.0
F3amplitudeLogRelF0_sma3nz_amean	0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm	0.0
F3bandwidth_sma3nz_amean	0.0
F3bandwidth_sma3nz_stddevNorm	0.0
F3frequency_sma3nz_amean	0.0
F3frequency_sma3nz_stddevNorm	0.0
HNRdBACF_sma3nz_amean	0.0
HNRdBACF_sma3nz_stddevNorm	0.0
MeanUnvoicedSegmentLength	0.0
MeanVoicedSegmentLengthSec	0.0
StddevUnvoicedSegmentLength	0.0
StddevVoicedSegmentLengthSec	0.0
VoicedSegmentsPerSec	0.0
alphaRatioUV_sma3nz_amean	0.0
alphaRatioV_sma3nz_amean	0.0
alphaRatioV_sma3nz_stddevNorm	0.0
apq11_shimmer	0.006872852233676976
apq3_shimmer	0.003436426116838488
apq5_shimmer	0.006872852233676976
articulation_rate	0.0
cepstral_peak_prominence_mean	0.006872852233676976
cepstral_peak_prominence_std	0.006872852233676976
dda_shimmer	0.003436426116838488
ddp_jitter	0.003436426116838488
duration	0.0
equivalentSoundLevel_dBp	0.0
hammarbergIndexUV_sma3nz_amean	0.0
hammarbergIndexV_sma3nz_amean	0.0
hammarbergIndexV_sma3nz_stddevNorm	0.0
jitterLocal_sma3nz_amean	0.0
jitterLocal_sma3nz_stddevNorm	0.0
localDB_shimmer	0.003436426116838488
local_jitter	0.003436426116838488
local_shimmer	0.003436426116838488
localabsolute_jitter	0.003436426116838488
logRelF0-H1-A3_sma3nz_amean	0.0
logRelF0-H1-A3_sma3nz_stddevNorm	0.0
logRelF0-H1-H2_sma3nz_amean	0.0
logRelF0-H1-H2_sma3nz_stddevNorm	0.0
loudnessPeaksPerSec	0.0
loudness_sma3_amean	0.0
loudness_sma3_meanFallingSlope	0.0
loudness_sma3_meanRisingSlope	0.0
loudness_sma3_pctlrange0-2	0.0
loudness_sma3_percentile20.0	0.0
loudness_sma3_percentile50.0	0.0
loudness_sma3_percentile80.0	0.0
loudness_sma3_stddevFallingSlope	0.0
loudness_sma3_stddevNorm	0.0
loudness_sma3_stddevRisingSlope	0.0
mean_b1_loc	0.003436426116838488
mean_b2_loc	0.003436426116838488
mean_f0_hertz	0.006872852233676976
mean_f1_loc	0.003436426116838488
mean_f2_loc	0.003436426116838488
mean_hnr_db	0.0
mean_intensity_db	0.0
mean_pause_duration	0.0
mfcc1V_sma3nz_amean	0.0
mfcc1V_sma3nz_stddevNorm	0.0
mfcc1_sma3_amean	0.0
mfcc1_sma3_stddevNorm	0.0
mfcc2V_sma3nz_amean	0.0
mfcc2V_sma3nz_stddevNorm	0.0
mfcc2_sma3_amean	0.0
mfcc2_sma3_stddevNorm	0.0
mfcc3V_sma3nz_amean	0.0
mfcc3V_sma3nz_stddevNorm	0.0
mfcc3_sma3_amean	0.0
mfcc3_sma3_stddevNorm	0.0
mfcc4V_sma3nz_amean	0.0
mfcc4V_sma3nz_stddevNorm	0.0
mfcc4_sma3_amean	0.0
mfcc4_sma3_stddevNorm	0.0
pause_rate	0.0
pesq	0.0
phonation_ratio	0.0
ppq5_jitter	0.003436426116838488
range_ratio_intensity_db	0.0
rap_jitter	0.003436426116838488
shimmerLocaldB_sma3nz_amean	0.0
shimmerLocaldB_sma3nz_stddevNorm	0.0
si_sdr	0.0
slopeUV0-500_sma3nz_amean	0.0
slopeUV500-1500_sma3nz_amean	0.0
slopeV0-500_sma3nz_amean	0.0
slopeV0-500_sma3nz_stddevNorm	0.0
slopeV500-1500_sma3nz_amean	0.0
slopeV500-1500_sma3nz_stddevNorm	0.0
speaking_rate	0.0
spectralFluxUV_sma3nz_amean	0.0
spectralFluxV_sma3nz_amean	0.0
spectralFluxV_sma3nz_stddevNorm	0.0
spectralFlux_sma3_amean	0.0
spectralFlux_sma3_stddevNorm	0.0
spectral_gravity	0.006872852233676976
spectral_kurtosis	0.006872852233676976
spectral_skewness	0.006872852233676976
spectral_slope	0.003436426116838488
spectral_std_dev	0.006872852233676976
spectral_tilt	0.003436426116838488
std_b1_loc	0.003436426116838488
std_b2_loc	0.003436426116838488
std_f0_hertz	0.006872852233676976
std_f1_loc	0.003436426116838488
std_f2_loc	0.003436426116838488
std_hnr_db	0.0
std_intensity_db	0.0
stoi	0.0
