split,accuracy,f1,auc,n_validation,prediction_count_per_subject,gait_representation
1,0.7027027027027027,0.7027027027027027,0.7294117647058824,37,10,TUG
2,0.75,0.8,0.8235294117647058,36,10,TUG
3,0.7777777777777778,0.8,0.848297213622291,36,10,TUG
4,0.8333333333333334,0.85,0.846875,36,10,TUG
5,0.7222222222222222,0.7058823529411765,0.821875,36,10,TUG
6,0.6486486486486487,0.6829268292682927,0.7441176470588236,37,10,TUG
7,0.6666666666666666,0.7142857142857143,0.758513931888545,36,10,TUG
8,0.8333333333333334,0.85,0.9256965944272446,36,10,TUG
9,0.7777777777777778,0.8,0.7875000000000001,36,10,TUG
10,0.8333333333333334,0.8571428571428571,0.8624999999999999,36,10,TUG
11,0.8378378378378378,0.85,0.8558823529411764,37,10,TUG
12,0.75,0.7692307692307693,0.8080495356037152,36,10,TUG
13,0.75,0.7692307692307693,0.8452012383900929,36,10,TUG
14,0.6666666666666666,0.7142857142857143,0.715625,36,10,TUG
15,0.6388888888888888,0.6666666666666666,0.6812499999999999,36,10,TUG
16,0.6756756756756757,0.7142857142857143,0.7147058823529411,37,10,TUG
17,0.8333333333333334,0.85,0.8111455108359134,36,10,TUG
18,0.8888888888888888,0.8947368421052632,0.891640866873065,36,10,TUG
19,0.6944444444444444,0.7317073170731707,0.8374999999999999,36,10,TUG
20,0.7777777777777778,0.8095238095238095,0.825,36,10,TUG
21,0.7297297297297297,0.7222222222222222,0.8911764705882352,37,10,TUG
22,0.7777777777777778,0.8,0.8173374613003096,36,10,TUG
23,0.75,0.7804878048780488,0.8421052631578947,36,10,TUG
24,0.6388888888888888,0.6829268292682927,0.7,36,10,TUG
25,0.6388888888888888,0.6666666666666666,0.73125,36,10,TUG
26,0.7027027027027027,0.7027027027027027,0.7764705882352941,37,10,TUG
27,0.7222222222222222,0.75,0.7987616099071208,36,10,TUG
28,0.8055555555555556,0.8372093023255814,0.8328173374613003,36,10,TUG
29,0.75,0.7692307692307693,0.821875,36,10,TUG
30,0.7222222222222222,0.7619047619047619,0.803125,36,10,TUG
31,0.5675675675675675,0.6,0.6970588235294117,37,10,TUG
32,0.6666666666666666,0.6842105263157895,0.761609907120743,36,10,TUG
33,0.75,0.7804878048780488,0.8575851393188854,36,10,TUG
34,0.7222222222222222,0.7727272727272727,0.825,36,10,TUG
35,0.8055555555555556,0.8292682926829268,0.86875,36,10,TUG
36,0.6756756756756757,0.7,0.6852941176470588,37,10,TUG
37,0.8055555555555556,0.8205128205128205,0.8235294117647058,36,10,TUG
38,0.8888888888888888,0.9,0.9009287925696594,36,10,TUG
39,0.7222222222222222,0.7619047619047619,0.84375,36,10,TUG
40,0.7777777777777778,0.7894736842105263,0.79375,36,10,TUG
