representation,model,subjects,embedding_dim,mean_accuracy,mean_f1,mean_auc,mean_ap,ci95_accuracy_lo,ci95_accuracy_hi,ci95_f1_lo,ci95_f1_hi,ci95_auc_lo,ci95_auc_hi,ci95_ap_lo,ci95_ap_hi
TUG,pca32_lr_l2,181,256,0.7443843843843844,0.7680619998985699,0.8100537925696594,0.8247345679024705,0.6388888888888888,0.8774024024024023,0.6666666666666666,0.8862781954887218,0.6902205882352941,0.9116060371517027,0.7135024186900265,0.9309116910005911
TUG,pca64_lr_l2,181,256,0.7432882882882883,0.7670419091711621,0.8098099845201239,0.8247302950373101,0.6388888888888888,0.8774024024024023,0.6666666666666666,0.8862781954887218,0.6879411764705883,0.9093266253869968,0.712118490118598,0.9281438338577339
TUG,lr_l2,181,256,0.7427477477477479,0.7666515187807716,0.809686726006192,0.8246225747562153,0.6388888888888888,0.8774024024024023,0.6666666666666666,0.8862781954887218,0.6879411764705883,0.9093266253869968,0.712118490118598,0.9281438338577339
TUG,mi128_lr_l2,181,256,0.7310660660660662,0.7508986597364213,0.8090555340557275,0.8251276805122266,0.5833333333333334,0.8333333333333334,0.6013636363636363,0.8537593984962405,0.692734375,0.9161648606811146,0.7039748419875363,0.9307679167375874
All3,mi128_lr_l2,181,768,0.7287837837837837,0.7408003782997593,0.8014645897832815,0.818525301716005,0.5895833333333333,0.8333333333333334,0.5958108108108109,0.8482236842105263,0.6687500000000001,0.8987345201238389,0.7064823828546725,0.9250945190542544
SelfPace+TUG,mi128_lr_l2,181,512,0.7145045045045044,0.7310633440298185,0.7990559210526316,0.8198929968208855,0.5711148648648648,0.8333333333333334,0.5824679943100995,0.8428165374677002,0.6705376838235294,0.891640866873065,0.7157757978151357,0.9205208719544713
TUG,lr_l1,181,256,0.70012012012012,0.7091403272150594,0.7989671052631578,0.8167197336427052,0.5643393393393393,0.8270833333333333,0.5529904306220096,0.8282657657657658,0.696764705882353,0.9002321981424148,0.7107255576188173,0.9109550506077826
SelfPace+TUG,lr_l1,181,512,0.716126126126126,0.7269064520348203,0.7971607972136222,0.8140995316969954,0.5858671171171171,0.8333333333333334,0.5792207792207792,0.85,0.6784145220588235,0.9048568111455109,0.6748052391663576,0.9246199148316945
All3,lr_l1,181,768,0.7255855855855855,0.7351215381295951,0.7927986648606812,0.8062339137477791,0.5675675675675675,0.8282657657657658,0.5555555555555556,0.8471220930232558,0.685905330882353,0.8960526315789473,0.6827563257182724,0.9251281443535542
All3,pca32_lr_l2,181,768,0.7304954954954955,0.7424241095730921,0.783800116099071,0.8018648593296368,0.5858671171171171,0.8368243243243243,0.5992723492723493,0.85,0.6468924148606812,0.8847523219814242,0.6720073281134002,0.9237788017801408
