held_out,n_test,acc,f1,classes_in_test
GaCo01,1,1.0,0.0,[0]
GaCo02,2,0.5,0.0,[0]
GaCo03,2,0.5,0.0,[0]
GaCo04,2,0.0,0.0,[0]
GaCo05,2,0.0,0.0,[0]
GaCo06,2,0.0,0.0,[0]
GaCo07,2,0.0,0.0,[0]
GaCo08,2,0.0,0.0,[0]
GaCo09,2,1.0,0.0,[0]
GaCo10,2,1.0,0.0,[0]
GaCo11,1,0.0,0.0,[0]
GaCo12,1,0.0,0.0,[0]
GaCo13,3,0.0,0.0,[0]
GaCo14,3,1.0,0.0,[0]
GaCo15,3,0.3333333333333333,0.0,[0]
GaCo16,3,0.6666666666666666,0.0,[0]
GaCo17,3,1.0,0.0,[0]
GaCo22,2,0.5,0.0,[0]
GaPt03,1,1.0,1.0,[1]
GaPt04,1,1.0,1.0,[1]
GaPt05,1,1.0,1.0,[1]
GaPt06,1,1.0,1.0,[1]
GaPt07,2,1.0,1.0,[1]
GaPt08,2,1.0,1.0,[1]
GaPt09,2,1.0,1.0,[1]
GaPt12,2,1.0,1.0,[1]
GaPt13,3,1.0,1.0,[1]
GaPt14,3,0.3333333333333333,0.5,[1]
GaPt15,3,1.0,1.0,[1]
GaPt16,3,1.0,1.0,[1]
GaPt17,3,1.0,1.0,[1]
GaPt18,3,1.0,1.0,[1]
GaPt19,3,1.0,1.0,[1]
GaPt20,3,1.0,1.0,[1]
GaPt21,3,0.6666666666666666,0.8,[1]
GaPt22,3,0.3333333333333333,0.5,[1]
GaPt23,3,1.0,1.0,[1]
GaPt24,3,1.0,1.0,[1]
GaPt25,3,1.0,1.0,[1]
GaPt26,3,1.0,1.0,[1]
GaPt27,3,0.6666666666666666,0.8,[1]
GaPt28,3,1.0,1.0,[1]
GaPt29,3,1.0,1.0,[1]
GaPt30,3,1.0,1.0,[1]
GaPt31,3,1.0,1.0,[1]
GaPt32,3,1.0,1.0,[1]
GaPt33,3,1.0,1.0,[1]
JuCo01,1,0.0,0.0,[0]
JuCo02,1,0.0,0.0,[0]
JuCo03,1,0.0,0.0,[0]
JuCo04,1,1.0,0.0,[0]
JuCo05,1,1.0,0.0,[0]
JuCo06,1,0.0,0.0,[0]
JuCo07,1,0.0,0.0,[0]
JuCo08,1,1.0,0.0,[0]
JuCo09,1,0.0,0.0,[0]
JuCo11,1,1.0,0.0,[0]
JuCo12,1,1.0,0.0,[0]
JuCo13,1,0.0,0.0,[0]
JuCo14,1,0.0,0.0,[0]
JuCo15,1,0.0,0.0,[0]
JuCo16,1,0.0,0.0,[0]
JuCo17,1,1.0,0.0,[0]
JuCo18,1,1.0,0.0,[0]
JuCo19,1,1.0,0.0,[0]
JuCo20,1,0.0,0.0,[0]
JuCo21,1,0.0,0.0,[0]
JuCo22,1,0.0,0.0,[0]
JuCo23,1,0.0,0.0,[0]
JuCo24,1,1.0,0.0,[0]
JuCo25,1,0.0,0.0,[0]
JuCo26,1,0.0,0.0,[0]
JuPt01,6,0.3333333333333333,0.5,[1]
JuPt02,1,1.0,1.0,[1]
JuPt03,7,1.0,1.0,[1]
JuPt04,1,1.0,1.0,[1]
JuPt05,1,0.0,0.0,[1]
JuPt06,7,1.0,1.0,[1]
JuPt07,1,0.0,0.0,[1]
JuPt08,1,1.0,1.0,[1]
JuPt09,5,1.0,1.0,[1]
JuPt10,7,1.0,1.0,[1]
JuPt11,7,1.0,1.0,[1]
JuPt12,1,1.0,1.0,[1]
JuPt13,1,1.0,1.0,[1]
JuPt14,1,1.0,1.0,[1]
JuPt15,7,1.0,1.0,[1]
JuPt16,1,1.0,1.0,[1]
JuPt17,1,1.0,1.0,[1]
JuPt18,1,1.0,1.0,[1]
JuPt19,1,1.0,1.0,[1]
JuPt20,7,0.7142857142857143,0.8333333333333334,[1]
JuPt21,7,1.0,1.0,[1]
JuPt22,1,0.0,0.0,[1]
JuPt23,7,0.14285714285714285,0.25,[1]
JuPt24,2,1.0,1.0,[1]
JuPt25,1,1.0,1.0,[1]
JuPt26,6,0.8333333333333334,0.9090909090909091,[1]
JuPt27,1,1.0,1.0,[1]
JuPt28,7,1.0,1.0,[1]
JuPt29,7,1.0,1.0,[1]
SiCo01,1,0.0,0.0,[0]
SiCo03,1,1.0,0.0,[0]
SiCo04,1,0.0,0.0,[0]
SiCo05,1,0.0,0.0,[0]
SiCo06,1,1.0,0.0,[0]
SiCo07,1,1.0,0.0,[0]
SiCo08,1,1.0,0.0,[0]
SiCo09,1,1.0,0.0,[0]
SiCo10,1,0.0,0.0,[0]
SiCo11,1,0.0,0.0,[0]
SiCo12,1,0.0,0.0,[0]
SiCo13,1,1.0,0.0,[0]
SiCo14,1,0.0,0.0,[0]
SiCo15,1,0.0,0.0,[0]
SiCo16,1,0.0,0.0,[0]
SiCo17,1,0.0,0.0,[0]
SiCo18,1,1.0,0.0,[0]
SiCo19,1,0.0,0.0,[0]
SiCo20,1,0.0,0.0,[0]
SiCo21,1,1.0,0.0,[0]
SiCo22,1,0.0,0.0,[0]
SiCo23,1,1.0,0.0,[0]
SiCo24,1,0.0,0.0,[0]
SiCo25,1,1.0,0.0,[0]
SiCo26,1,0.0,0.0,[0]
SiCo27,1,1.0,0.0,[0]
SiCo28,1,1.0,0.0,[0]
SiCo29,1,1.0,0.0,[0]
SiCo30,1,1.0,0.0,[0]
SiPt02,1,1.0,1.0,[1]
SiPt04,1,0.0,0.0,[1]
SiPt05,1,1.0,1.0,[1]
SiPt07,1,0.0,0.0,[1]
SiPt08,1,1.0,1.0,[1]
SiPt09,1,1.0,1.0,[1]
SiPt10,1,0.0,0.0,[1]
SiPt12,1,1.0,1.0,[1]
SiPt13,1,0.0,0.0,[1]
SiPt14,1,0.0,0.0,[1]
SiPt15,1,1.0,1.0,[1]
SiPt16,1,0.0,0.0,[1]
SiPt17,1,0.0,0.0,[1]
SiPt18,1,1.0,1.0,[1]
SiPt19,1,1.0,1.0,[1]
SiPt20,1,1.0,1.0,[1]
SiPt21,1,1.0,1.0,[1]
SiPt22,1,1.0,1.0,[1]
SiPt23,1,0.0,0.0,[1]
SiPt24,1,1.0,1.0,[1]
SiPt25,1,1.0,1.0,[1]
SiPt27,1,1.0,1.0,[1]
SiPt28,1,0.0,0.0,[1]
SiPt29,1,1.0,1.0,[1]
SiPt30,1,1.0,1.0,[1]
SiPt31,1,1.0,1.0,[1]
SiPt32,1,1.0,1.0,[1]
SiPt33,1,1.0,1.0,[1]
SiPt34,1,0.0,0.0,[1]
SiPt35,1,1.0,1.0,[1]
SiPt36,1,1.0,1.0,[1]
SiPt37,1,1.0,1.0,[1]
SiPt38,1,0.0,0.0,[1]
SiPt39,1,1.0,1.0,[1]
SiPt40,1,1.0,1.0,[1]
