accuracy,f1,roc_auc,fold,model
0.7666666666666667,0.8,0.765,1,svm_rbf
0.7666666666666667,0.8,0.83,2,svm_rbf
0.7333333333333333,0.7777777777777778,0.8038277511961722,3,svm_rbf
0.7241379310344828,0.7647058823529411,0.7210526315789473,4,svm_rbf
0.7241379310344828,0.7647058823529411,0.6894736842105262,5,svm_rbf
0.7,0.7567567567567568,0.71,1,logistic_regression
0.8333333333333334,0.8648648648648649,0.7750000000000001,2,logistic_regression
0.7333333333333333,0.75,0.8755980861244019,3,logistic_regression
0.6206896551724138,0.6857142857142857,0.763157894736842,4,logistic_regression
0.5862068965517241,0.6470588235294118,0.5842105263157894,5,logistic_regression
0.7666666666666667,0.8108108108108109,0.76,1,gpc_rbf
0.7333333333333333,0.8095238095238095,0.7200000000000001,2,gpc_rbf
0.6333333333333333,0.7317073170731707,0.7320574162679425,3,gpc_rbf
0.7241379310344828,0.8,0.7473684210526315,4,gpc_rbf
0.6896551724137931,0.7692307692307693,0.6842105263157895,5,gpc_rbf
0.7,0.7692307692307693,0.77,1,random_forest
0.6333333333333333,0.7027027027027027,0.74,2,random_forest
0.5333333333333333,0.65,0.6698564593301435,3,random_forest
0.6896551724137931,0.7692307692307693,0.7736842105263158,4,random_forest
0.7241379310344828,0.7894736842105263,0.763157894736842,5,random_forest
0.7333333333333333,0.8,0.77,1,xgboost
0.7,0.7692307692307693,0.735,2,xgboost
0.6666666666666666,0.75,0.6889952153110047,3,xgboost
0.6896551724137931,0.7804878048780488,0.7578947368421053,4,xgboost
0.6896551724137931,0.7804878048780488,0.7157894736842105,5,xgboost
0.7333333333333333,0.8,0.76,1,lightgbm
0.7666666666666667,0.8292682926829268,0.77,2,lightgbm
0.7,0.7692307692307693,0.7081339712918661,3,lightgbm
0.6551724137931034,0.75,0.7157894736842105,4,lightgbm
0.7241379310344828,0.7894736842105263,0.7052631578947368,5,lightgbm
