accuracy,f1,roc_auc,fold,model
0.7666666666666667,0.8,0.755,1,svm_rbf
0.7666666666666667,0.8108108108108109,0.83,2,svm_rbf
0.7666666666666667,0.7878787878787878,0.8373205741626794,3,svm_rbf
0.7241379310344828,0.75,0.7789473684210526,4,svm_rbf
0.6551724137931034,0.7222222222222222,0.7263157894736841,5,svm_rbf
0.7333333333333333,0.7777777777777778,0.675,1,logistic_regression
0.7333333333333333,0.7777777777777778,0.735,2,logistic_regression
0.7666666666666667,0.8,0.8181818181818181,3,logistic_regression
0.6551724137931034,0.6875,0.7052631578947369,4,logistic_regression
0.6206896551724138,0.6666666666666666,0.6368421052631578,5,logistic_regression
0.7,0.7428571428571429,0.73,1,gpc_rbf
0.7333333333333333,0.8,0.755,2,gpc_rbf
0.6,0.7,0.7607655502392345,3,gpc_rbf
0.7931034482758621,0.8421052631578947,0.7789473684210526,4,gpc_rbf
0.6206896551724138,0.717948717948718,0.7105263157894737,5,gpc_rbf
0.7333333333333333,0.7777777777777778,0.7550000000000001,1,random_forest
0.8333333333333334,0.8717948717948718,0.7999999999999999,2,random_forest
0.7333333333333333,0.8,0.8133971291866028,3,random_forest
0.7241379310344828,0.7894736842105263,0.8473684210526315,4,random_forest
0.7241379310344828,0.7894736842105263,0.8210526315789474,5,random_forest
