iter	Passed	Remaining
0	6	9377
1	8	6486
2	11	5528
3	13	5033
4	15	4742
5	18	4531
6	20	4393
7	22	4279
8	25	4194
9	27	4119
10	30	4064
11	32	4022
12	34	3981
13	37	3943
14	39	3916
15	41	3886
16	44	3863
17	46	3844
18	49	3822
19	51	3799
20	53	3783
21	56	3768
22	58	3753
23	60	3741
24	63	3728
25	65	3720
26	68	3713
27	70	3710
28	74	3760
29	76	3746
30	78	3735
31	81	3722
32	83	3710
33	85	3700
34	88	3693
35	90	3684
36	92	3674
37	95	3666
38	97	3657
39	99	3648
40	102	3641
41	104	3636
42	107	3628
43	109	3621
44	111	3613
45	114	3611
46	116	3607
47	119	3603
48	121	3595
49	123	3589
50	126	3585
51	128	3577
52	130	3572
53	133	3567
54	136	3593
55	139	3588
56	141	3583
57	143	3578
58	146	3573
59	148	3568
60	151	3564
61	153	3557
62	155	3553
63	158	3545
64	160	3541
65	162	3537
66	165	3531
67	167	3526
68	169	3521
69	172	3517
70	174	3512
71	176	3508
72	179	3505
73	181	3499
74	184	3496
75	186	3494
76	188	3491
77	191	3486
78	193	3483
79	195	3478
80	198	3474
81	200	3470
82	203	3466
83	205	3462
84	207	3458
85	210	3453
86	212	3450
87	214	3446
88	217	3442
89	219	3440
90	221	3436
91	224	3433
92	226	3429
93	230	3442
94	232	3439
95	234	3436
96	238	3448
97	243	3484
98	249	3534
99	253	3550
100	256	3546
101	258	3541
102	260	3537
103	263	3532
104	265	3526
105	267	3521
106	270	3516
107	272	3512
108	274	3506
109	277	3501
110	279	3497
111	281	3493
112	284	3489
113	286	3484
114	288	3480
115	291	3476
116	293	3472
117	296	3467
118	298	3462
119	300	3458
120	303	3454
121	307	3471
122	309	3467
123	315	3496
124	319	3509
125	322	3521
126	325	3518
127	327	3515
128	330	3511
129	332	3506
130	335	3502
131	337	3497
132	339	3492
133	342	3488
134	344	3483
135	346	3479
136	349	3474
137	351	3469
138	353	3464
139	357	3469
140	359	3465
141	361	3460
142	364	3456
143	366	3452
144	368	3447
145	371	3442
146	373	3437
147	375	3433
148	378	3428
149	380	3424
150	382	3420
151	385	3415
152	387	3412
153	389	3408
154	392	3404
155	394	3400
156	396	3395
157	399	3392
158	401	3387
159	404	3383
160	406	3379
161	408	3375
162	411	3372
163	413	3368
164	415	3364
165	418	3360
166	420	3356
167	422	3353
168	425	3349
169	427	3345
170	430	3342
171	432	3338
172	434	3335
173	437	3331
174	439	3328
175	441	3324
176	444	3320
177	446	3317
178	449	3314
179	451	3310
180	453	3307
181	456	3303
182	458	3299
183	460	3296
184	463	3292
185	465	3288
186	467	3284
187	470	3281
188	472	3278
189	474	3274
190	477	3270
191	479	3267
192	481	3263
193	484	3259
194	486	3256
195	488	3252
196	491	3249
197	493	3245
198	496	3242
199	498	3239
200	500	3235
201	503	3232
202	505	3228
203	507	3225
204	510	3221
205	512	3218
206	515	3222
207	518	3219
208	520	3215
209	523	3212
210	525	3209
211	527	3206
212	530	3202
213	532	3198
214	534	3195
215	537	3197
216	540	3194
217	542	3191
218	545	3188
219	547	3184
220	549	3181
221	552	3178
222	554	3175
223	556	3172
224	559	3169
225	561	3165
226	563	3162
227	566	3159
228	569	3162
229	572	3159
230	574	3156
231	577	3153
232	579	3150
233	581	3147
234	584	3144
235	586	3141
236	588	3137
237	591	3134
238	593	3132
239	596	3129
240	598	3126
241	600	3123
242	603	3119
243	605	3116
244	607	3114
245	610	3110
246	612	3107
247	614	3104
248	617	3101
249	619	3097
250	623	3101
251	625	3097
252	627	3094
253	630	3091
254	632	3088
255	634	3085
256	637	3083
257	640	3081
258	642	3078
259	644	3075
260	647	3072
261	649	3069
262	651	3066
263	654	3063
264	656	3059
265	658	3056
266	661	3053
267	663	3050
268	666	3047
269	668	3044
270	670	3041
271	673	3038
272	675	3035
273	677	3032
274	680	3029
