emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,drawing_id,label
-0.5862747,0.92851907,-0.6643853,-1.0853976,0.48197055,0.27245498,-0.2961447,0.082399674,00001__1_1,1
-0.39879677,1.1984037,-0.7841337,-1.0456119,0.32656536,0.63939756,-0.07157234,-0.061067685,00002__1_1,1
-0.7393563,0.96146804,-0.5989095,-0.9638027,-0.29162258,0.25440684,-0.004263385,0.05755261,00003__1_1,1
4.250394,-1.0727664,-1.8449452,5.310557,1.7816856,2.9705539,-0.47456327,-0.8492122,00004__1_1,1
-0.6319103,0.17381707,-0.6610575,-2.0756185,-1.7978506,1.9536952,1.0137984,-0.54450536,00005__1_1,1
1.7046701,0.8037999,-0.079220995,-0.76981604,0.4579445,-1.5964437,1.1796161,-0.3847122,00006__1_1,1
15.726066,-6.3104143,-7.2152677,1.3226665,-2.6992934,1.3045661,-2.4300098,0.15028693,00007__1_1,1
-0.04890143,2.2988787,-1.0683901,-0.24641415,1.5582007,0.5283829,-0.3610393,0.38079265,00008__1_1,1
-0.9348804,0.7526939,-0.56565464,-1.1891632,-1.9014069,0.98805165,0.8012393,-0.06482166,00009__1_1,1
8.84447,-2.6650553,-1.3060814,-0.1617832,0.8542657,0.02648145,-0.7008941,3.074508,00010__1_1,1
-1.0037484,-0.93561584,0.242055,1.0497131,-0.40292466,1.2285897,0.50304973,-0.24360536,00013__1_1,1
-0.4671917,0.46204656,-0.65265125,-1.4763954,1.0761483,0.5360315,-0.45141712,-0.056413308,00014__1_1,1
7.6046376,0.42005846,0.5194828,-0.58079153,0.21249698,-1.7346708,0.10076871,-2.8002264,00015__1_1,1
-0.67583346,3.4596803,-0.7854894,1.6390843,-0.104870364,-0.9792481,-0.02090106,0.9343571,00016__1_1,1
0.48058352,3.8457057,-1.4770695,0.9084486,1.1584178,1.4652115,0.33576465,0.37172356,00017__1_1,1
6.510555,-1.0410639,0.084899925,-0.89587766,0.65583616,1.1159816,-0.27506667,-1.225233,00018__1_1,1
8.3100815,-0.8526417,-2.3760054,-0.43610176,-0.70783174,1.550548,1.0691468,-2.5012348,00019__1_1,1
-0.8407845,1.5715271,-0.57983637,-0.13115875,-0.79782593,0.03618891,0.2775697,0.29095793,00020__1_1,1
7.460002,0.39199162,0.9417888,-1.3565992,1.2048829,-0.93803126,-0.96627265,3.303453,00022__1_1,1
-0.73486304,0.33173195,-0.6085747,-1.7987642,-0.96050704,1.0657028,0.40817338,-0.2562865,00023__1_1,1
3.3698604,4.5785413,-0.8826417,2.155053,0.8606669,-3.4265091,2.8611279,-0.20072742,00024__1_1,1
3.8370206,-0.3325033,0.25169408,-1.150754,-0.7137455,-1.3789201,0.5762597,-1.6928765,00025__1_1,1
-0.6299418,1.5488983,-0.70474696,-0.50840646,-0.060944732,0.12122403,-0.022768568,0.22686729,00026__1_1,0
-0.52552605,1.6207454,-0.83061755,-0.76435304,-0.6613497,0.84662426,0.48863855,0.11301454,00027__1_1,0
-0.32038835,0.82437664,-0.8419837,-1.5186645,0.96221095,1.0986122,-0.09268442,0.08375946,00028__1_1,0
-0.94297296,0.4076767,-0.48309276,-1.4244528,-0.9769081,0.44813198,0.20993942,-0.06635068,00029__1_1,0
1.2520177,0.75332355,0.8402814,-1.2750195,-1.737723,-0.5965335,1.0869181,0.95627767,00030__1_1,0
-0.61337936,0.7382046,-0.6248406,-1.1830829,0.17962413,0.4876033,-0.10054258,-0.01999386,00031__1_1,0
-0.6539568,0.9022597,-0.6893053,-1.2497221,-0.05939931,0.5258941,-0.044683356,0.08256073,00032__1_1,0
-1.2272165,0.28396413,0.0778259,2.2281644,-1.6176097,0.8944681,0.16589172,-0.09993075,00033__1_1,1
-0.6371176,0.53248876,-0.61069745,-1.2970939,0.30577338,0.6205011,-0.15247439,0.014256387,00034__1_1,1
-0.75680554,3.1232708,-0.31983912,7.5678697,-2.2995958,2.317175,-0.016046453,0.09761232,00036__1_1,1
-0.66472644,2.3725383,-0.7883253,0.26273754,-0.56817836,-0.03926286,0.16302623,0.47607958,00039__1_1,0
-0.97540087,0.46785715,-0.43711087,-1.2384353,-0.9364544,0.20244162,0.11485015,-0.061388742,00040__1_1,0
6.4102993,0.74997574,2.4882865,-0.98499066,-0.32629725,-0.24969001,0.8966106,-2.189173,00041__1_1,0
-0.62183,1.7484795,-0.7760511,-0.458698,-0.51888216,0.35945332,0.14269955,0.21725366,00043__1_1,1
-0.8067091,1.38174,-0.684506,-0.8092013,-0.9333133,0.39657807,0.37629634,0.24360524,00044__1_1,1
7.310086,-0.7530263,3.482257,2.2625337,-0.0026651074,0.854416,-0.67669576,-1.5231218,00048__1_1,1
