Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	0.027624472320251	0.732080002030311	1.41052953325645	42.6670100161744	37.1009229621586	-118.044413692636	0
2	0.015625	-0.231673596095486	2.91739548603877	2.80650240752937	21.2054107176795	29.2694119761629	-142.276207304656	0
3	0.0234375	0.35852958278004	2.75445733563543	2.9148432174992	-35.7963412009799	23.1842729473567	-185.490736867975	0
4	0.03125	1.79181492723487	-0.019366384251421	0.523324134771453	-79.8380856443131	7.26644477213679	-89.7173133124857	0
5	0.0390625	1.20238598268462	-0.307841966380229	-0.33209041085788	19.6014305129855	1.93866609687903	143.349265658298	0
6	0.046875	0.516762129273253	-0.276162607414121	0.287994765453932	59.1249124649251	-0.748016398254106	196.975205897187	0
7	0.0546875	-0.542737090548962	-0.625412773894258	1.02864393285773	51.7160305237257	-19.7685344177375	211.13187314218	0
8	0.0625	-1.31903513402155	-0.162147406253777	1.47127233644885	54.818315916282	-37.7387803416412	189.909336680274	0
9	0.0703125	-1.20402606151681	0.0550557952277434	1.39233180767046	35.56474152709	-31.7743027282777	113.46366404055	0
10	0.078125	-0.661314971388875	-0.181136010384177	0.990114202232477	11.388039046707	-2.17987456799683	-19.7171385632917	0
11	0.0859375	-0.0492577675985143	-0.494819768355279	0.811571406225639	8.48644901482199	10.3605707479926	-64.1591562777463	0
12	0.09375	-0.146794111709551	-0.4556562644141	0.941893734143812	15.9560494881839	14.1072163167152	-53.2117230553214	0
13	0.1015625	-0.0981576041554588	-0.374628445654596	0.973283146656535	6.41615110462537	17.5185835538467	-71.9385016536436	0
14	0.109375	0.103212903801157	-0.331986464168663	0.972730330243601	8.7763010012909	15.1842626380353	-63.0764838096065	0
15	0.1171875	0.272143395024802	-0.300012127181894	0.9243924781505	7.97176837324187	11.9572040234433	-54.9738160083335	0
16	0.125	0.28966533351566	-0.269118839882748	0.953588471123226	16.0189133417531	2.69503365675569	-11.4027981406644	0
17	0.1328125	0.293160687443313	-0.239141497171899	0.945195356645529	17.536965226276	-2.81622225254124	5.21380951593834	0
18	0.140625	0.0337557183195133	-0.197792557608502	1.00138100818536	22.9136565277153	-8.67839571106455	36.457467774128	0
19	0.1484375	-0.168173581174826	-0.181672888250747	0.987752241012085	21.9451003363245	-10.1541463360976	38.9118765906687	0
20	0.15625	-0.257932186247693	-0.193442949077746	0.998613925338028	20.8518472000167	-9.36849492539763	31.5817524187614	0
21	0.1640625	-0.231580280627193	-0.203572389177034	0.999622100141955	17.4561890652597	-6.55319858363087	6.84454006423728	0
22	0.171875	-0.117997328272073	-0.217375890326224	0.999118189353087	14.0845060516672	-2.42211255781526	-13.7863005194033	0
23	0.1796875	-0.0632107389074159	-0.234422932520558	1.002304957445	13.2629875005585	-0.777582069920518	-15.7290638307096	0
24	0.1875	-0.0135676829759319	-0.234801216985889	0.975235024999279	10.9412764927586	0.704221571038862	-13.9648414076381	0
25	0.1953125	0.00879968124122325	-0.211520514309974	0.971647198851114	12.9156567152664	-0.856265476813012	-5.20091494389138	0
26	0.203125	-0.00729806333247588	-0.233687277678718	0.956417872877305	12.5869679817487	-1.38778115494174	-1.67514979862875	0
27	0.2109375	-0.0969762472545129	-0.22066819107906	0.974694101926663	14.2822838639972	-1.88615048916373	7.34256699632669	0
28	0.21875	-0.144421027293899	-0.18943177363527	0.97884733201193	12.9225669680975	-0.739995532778294	3.42031307731729	0
29	0.2265625	-0.157793447167244	-0.181971630199215	0.98796305820868	13.084503692153	0.300961482456402	1.30317643143076	0
30	0.234375	-0.107163160817709	-0.198858959115476	0.97513520296731	10.5668988577304	1.45755831863396	-8.65383219628726	0
31	0.2421875	-0.0373180772266751	-0.222843735223735	0.965117699395033	10.3563174671941	1.63899142210936	-11.333703170991	0
32	0.25	-0.0177412285169523	-0.244368945075463	0.959459954231365	10.1454122417011	1.20980209957979	-10.8476854020034	0
33	0.2578125	-0.0657573436674269	-0.259054862335206	0.957010659755551	10.0450130984827	1.21730317980597	-6.21338508642914	0
34	0.265625	-0.0896058235762103	-0.234087217396013	0.966705097641376	9.79607712513045	0.0576272764143757	-7.90503797976321	0
35	0.2734375	-0.087770339063213	-0.227919412863716	0.978921434794032	9.80931549872827	-0.0864013383546728	-10.8273530905319	0
36	0.28125	-0.0582975135549264	-0.223675534002282	0.973811124007997	8.77371732430165	-0.458874960249362	-16.1542324272918	0
37	0.2890625	-0.0484021663806237	-0.242141533414656	0.986914530255248	7.54450154103505	-0.83312098864915	-19.3636033981873	0
38	0.296875	-0.0741654330567313	-0.265388966146835	0.986251077690717	6.72165407962946	-0.727464303335535	-17.4215577278164	0
39	0.3046875	-0.121253626296266	-0.244639437592688	0.990840169403733	5.65216604048028	-0.494888807141308	-16.2252862984139	0
40	0.3125	-0.0957359058308359	-0.250360538466735	0.986402095902468	4.40037161618698	-0.0494574555230154	-17.59936731253	0
41	0.3203125	-0.0972139510947573	-0.243423051682207	0.986624076424176	3.82033618972427	0.930388176684784	-18.4109815706697	0
42	0.328125	-0.132219989479477	-0.240233978060715	0.994919630033461	2.67971034348524	2.62461036628328	-18.5117965052901	0
43	0.3359375	-0.132922057026899	-0.234186596385534	0.990613856060131	0.725842989590493	4.49572845172605	-20.7166133165202	0
44	0.34375	-0.121634375672732	-0.228180151613563	0.991817907913642	0.0725679237878558	5.19063790271116	-20.7752958853872	0
45	0.3515625	-0.0913613846403218	-0.224248484736088	0.971392253644797	-0.652645474043054	6.24206573402246	-22.5283160745215	0
46	0.359375	-0.0927761414501333	-0.232518479207813	0.983681696164213	-0.254532119484393	7.19227974969928	-21.1590097565682	0
